Campaign,Measurement,Month1,Month2,Rev_YTD,Rev,Rev_2023,Rev_2024,Flagging_Campaign,Source,RFS_Date,Created_Date,Last_Stage_Change_Date,Opportunity_ID,SF_Opportunity_Id,Campaign_Name,Opportunity_Name,CA_Number,Account_Name,Sub_Line_of_Business,Owner_Group,Opportunity_Owner:_Division,Product_Offer,Opportunity_Owner,Stage,Stage_Count,Opportunity_Quantity,Estimated_Contract_Period_(in_Months),Total_Contract_Value_(converted),Total_OTC_(converted),Total_MRC_(converted),New_Group
2023BDx,FAB,2,Feb,40000000,20000000,220000000,20000000,Done,SFA,2/23/2023,2/10/2023,3/8/2023,0065g00000WSdVX,0065g00000WSdVXAA1,2023BDx,COLO 1 Rack 42U - Sangkuriang,MTX10600516,SANGKURIANG JAYA PERSADA,System Integrator,STRATEGIC ENTERPRISE ACCOUNT,MEDIA & ENERGY,,87208362 (ANDHIKA POETRA BAHARI),Cash,1,1,12,240000000,0,20000000,SEA
2023RacingIDA,FAB,3,Mar,250000001,250000001,2500000001,500000000,Done,SFA,3/31/2023,3/1/2023,2/2/2023,0065g00000UtDaq,0065g00000UtDaqAAF,2023RacingIDA,Data Analytics Sandbox,MTX07515698,KOMISI PEMBERANTASAN KORUPSI,Local Government,STRATEGIC ENTERPRISE ACCOUNT,MEDIA & ENERGY,,90229504 RIVO LINO,Complete,1,1,12,3000000001,1,250000000,KPSE
2023BDx,FAB,2,Feb,3513288004,3513288002,3513288022,24,Done,SFA,2/28/2023,2/14/2023,2/14/2023,0065g00000WShxD,0065g00000WShxDAAT,2023BDx,Connectivity & Colocation,MTX10600516,SANGKURIANG JAYA PERSADA,System Integrator,STRATEGIC ENTERPRISE ACCOUNT,MEDIA & ENERGY,,90229504 RIVO LINO,Cash,1,2,24,3513288048,3513288000,2,SEA
2023RacingIDA,FAB,3,Mar,150000000,150000000,900000000,0,No,All Pipelines SOM,3/2/2023,2/22/2023,3/3/2023,0065g00000WfXtR,0065g00000WfXtRAAV,2023RacingIDA,Google - IDA Flash SMS,,ALLO FRESH INDONESIA,Agents/Distributors,REGIONAL ENTERPRISE ACCOUNT,JABODETABEK,Big Data Offer-Lead Generation,89229279 LIBRIA PUSPA TIRTA,Complete,1,500000,6,900000000,0,150000000,REA
2023RacingIDA,NO,3,Mar,50000000,50000000,50000000,0,No,All Pipelines SOM,3/31/2023,2/13/2023,,0065g00000WSh3t,0065g00000WSh3tAAD,2023RacingIDA,Bank Mandiri-Credit Scoring KSM,MTX07714472,BANK MANDIRI (PERSERO),"Commercial, saving & Dev. Bank",STRATEGIC ENTERPRISE ACCOUNT,STRATEGIC BANKING & FINANCIAL INSTITUTION,Big Data Offer-Lead Generation,95229416 ORVINA MYRILLA,Identify,1,1,1,50000000,50000000,0,SEA
2023RacingIDA,FAB,2,Feb,160000000,155000000,155000000,0,No,All Pipelines SOM,2/28/2023,2/28/2023,2/28/2023,0065g00000WfkWp,0065g00000WfkWpAAJ,2023RacingIDA,Bank Mandiri- SMS OTP,MTX07714472,BANK MANDIRI (PERSERO),"Commercial, saving & Dev. Bank",STRATEGIC ENTERPRISE ACCOUNT,STRATEGIC BANKING & FINANCIAL INSTITUTION,Big Data Offer-Lead Generation,95229416 ORVINA MYRILLA,Complete,1,1,1,155000000,150000000,5000000,SEA
2023RacingIDA,NO,3,Mar,98200000,98200000,953200000,190000000,No,All Pipelines SOM,3/31/2023,2/28/2023,2/28/2023,0065g00000WfjcO,0065g00000WfjcOAAR,2023RacingIDA,Digital Campaign,MTX08163068,BANK SHINHAN INDONESIA,"Commercial, saving & Dev. Bank",NATIONAL ENTERPRISE ACCOUNT,FINANCIAL & RETAIL BUSINESS,Big Data Offer-Lead Generation,0257220031 (RICKY PRATAMA),Develop,1,1,12,1143200000,3200000,95000000,NEA
2023RacingIDA,FAB,2,Feb,100000000,50000000,550000000,50000000,No,All Pipelines SOM,2/24/2023,2/2/2023,3/3/2023,0065g00000UtDzP,0065g00000UtDzPAAV,2023RacingIDA,IDA - DHL,MTX00780781,"BIROTIKA SEMESTA,PT (DHL)",MIG-CAT2-2015,REGIONAL ENTERPRISE ACCOUNT,JABODETABEK,Big Data Offer-Lead Generation,89229279 LIBRIA PUSPA TIRTA,Complete,1,1,12,600000000,0,50000000,REA
2023RacingIDA,FAB,2,Feb,26779000,26779000,26779000,0,No,All Pipelines SOM,2/28/2023,2/16/2023,2/28/2023,0065g00000WSl1x,0065g00000WSl1xAAD,2023RacingIDA,GOOGLE IADS BOUNTY X SANGOBION PART 2,MTX10606850,BOUNTY MEDIA,Other Technologies,NATIONAL ENTERPRISE ACCOUNT,SUPPLY CHAIN & SERVICES,Big Data Offer-Lead Generation,"0257210035 (HERLIKA AGRIN SITUMORANG, S.I.KOM.)",Cash,1,13550,1,26779000,26779000,0,NEA
2023RacingIDA,NO,2,Feb,50000000,50000000,50000000,0,No,All Pipelines SOM,2/7/2023,2/7/2023,,0065g00000UtOC8,0065g00000UtOC8AAN,2023RacingIDA,BPD KALTENG - Big Data,MTX07780670,BPD KALTENG-LA CUST,MIG-CAT2-2015,REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,Big Data Offer-Telco Scoring,84198077 (JUAN AUDYA SENGKEY),Identify,1,1,,50000000,50000000,0,REA
