Activity,Oppty,Corp Name,Group,WEST REGIONAL,Department,Month of event,Program Name,STAGE ,Actual Cost,Revenue
JPS,0065g00000P3zKmAAJ,Diskominfo Lampung Timur,REA,WEST REGIONAL,SOUTHERN SUMATERA,Okt'22,MoU BencmrkLampung ke Jembrana,Closed Lost,82458000,158333333
JPS,0065g00000P3zKmAAJ,Diskominfo Lampung Timur,REA,WEST REGIONAL,SOUTHERN SUMATERA,Okt'22,MoU BencmrkLampung ke Jembrana,Closed Lost,,0
JPS,0065g00000P3bQmAAJ,Diskominfo Lampung Timur,REA,WEST REGIONAL,SOUTHERN SUMATERA,Okt'22,MoU BencmrkLampung ke Jembrana,Closed Lost,,0
JPS,0065g00000P3bQmAAJ,Diskominfo Lampung Timur,REA,Null,SOUTHERN SUMATERA,Okt'22,MoU BencmrkLampung ke Jembrana,Closed Lost,,400000000
JPS,0065g00000FlLkEAAV,Pertamina Persero,SEA,EAST REGIONAL,Media & Energy,Okt'22,Pertamina Persero,Closed Lost,17280000,0
JPS,0065g00000P34HbAAJ,Kab. Magelang,REA,EAST REGIONAL,CENTRAL JAVA,Okt'22,Dinas Kab. MAGELANG,Cash,8910000,177700000
JPS,0065g00000P3lX0AAJ,Kab. Magelang,REA,EAST REGIONAL,CENTRAL JAVA,Okt'22,Dinas Kab. MAGELANG,Identify,,200000000
JPS,0065g00000P3lXZAAZ,Kab. Magelang,REA,EAST REGIONAL,CENTRAL JAVA,Okt'22,Dinas Kab. MAGELANG,Identify,,100000000
JPS,0065g00000P3yqMAAR,Kab. Wonosobo,REA,EAST REGIONAL,CENTRAL JAVA,Okt'22,Dinas Kab. Wonosobo,Cash,10044000,82200001
JPS,0065g00000P3ytVAAR,Kab. Wonosobo,REA,EAST REGIONAL,CENTRAL JAVA,Okt'22,Dinas Kab. Wonosobo,Identify,,0
JPS,0065g00000P3yuOAAR,Kab. Wonosobo,REA,EAST REGIONAL,CENTRAL JAVA,Okt'22,Dinas Kab. Wonosobo,Identify,,0
JPS,0065g00000P34iJAAR,Kab. Klaten,REA,EAST REGIONAL,CENTRAL JAVA,Okt'22,Dinas Kab.KLATEN,Cash,9612000,148000000
JPS,0065g00000P3lLSAAZ,Kab. Klaten,REA,EAST REGIONAL,CENTRAL JAVA,Okt'22,Dinas Kab.KLATEN,Identify,,200000000
JPS,0065g00000P3lMpAAJ,Kab. Klaten,REA,BANKING & FINANCIAL INSTITUTION,CENTRAL JAVA,Okt'22,Dinas Kab.KLATEN,Identify,,100000000
JPS,0065g00000P3IqPAAV,ARTAJASA PEMBAYARAN ELEKTRONIS PT,NEA,BANKING & FINANCIAL INSTITUTION,FINANCE & MULTINATIONAL BANK,Okt'22,Artajasa Kick Off Mtg_23,Cash,7290000,2489000000
JPS,0065g00000MIYoZAAX,ARTAJASA PEMBAYARAN ELEKTRONIS PT,NEA,BANKING & FINANCIAL INSTITUTION,FINANCE & MULTINATIONAL BANK,Okt'22,Artajasa Kick Off Mtg_23,Complete,,1000000000
Loyalty,0065g00000K7HqbAAF,PT. Gojek Indonesia,NEA,BANKING & FINANCIAL INSTITUTION,FINANCE & MULTINATIONAL BANK,Okt'22,Loyalty PT Gojek Indonesia,Closed Lost,10540540,26000100000
Loyalty,0065g00000MGUZeAAP,PT. Gojek Indonesia,NEA,BANKING & FINANCIAL INSTITUTION,FINANCE & MULTINATIONAL BANK,Okt'22,Loyalty PT Gojek Indonesia,Identify,,0
Loyalty,0065g00000MIDiOAAX,PT. Gojek Indonesia,NEA,BANKING & FINANCIAL INSTITUTION,FINANCE & MULTINATIONAL BANK,Okt'22,Loyalty PT Gojek Indonesia,Complete,,200000000
Loyalty,0065g00000MIDiOAAX,PT. Gojek Indonesia,NEA,BANKING & FINANCIAL INSTITUTION,FINANCE & MULTINATIONAL BANK,Okt'22,Loyalty PT Gojek Indonesia,Complete,,0
Loyalty,0065g00000MITurAAH,PT. Gojek Indonesia,NEA,DOMESTIC WHOLESALE & INTERCONNECTION,FINANCE & MULTINATIONAL BANK,Okt'22,Loyalty PT Gojek Indonesia,Complete,,20000000
Loyalty,0065g00000JbNWYAA3,PT. LINKNET,WCA,DOMESTIC WHOLESALE & INTERCONNECTION,ISP,Okt'22,Loyalty Prog PT LINKNET,Complete,55676578,210000000
Loyalty,0065g00000SdqAFAAZ,PT. LINKNET,WCA,EAST REGIONAL,ISP,Okt'22,Loyalty Prog PT LINKNET,Complete,,355000000
Connex,0065g00000P59XBAAZ,UNIV. ISLAM INDONESIA (UII),REA,EAST REGIONAL,CENTRAL JAVA,Okt'22,Connex Q4 - Bali,Develop,,103000000
Connex,0065g00000MG8q0AAD,UNIVERSITAS ISLAM NEGERI WALISONGO SEMARANG DITJEN PENDIDIKAN ISLAM,REA,EAST REGIONAL,CENTRAL JAVA,Okt'22,Connex Q4 - Bali,Complete,,0
Connex,0065g00000P3j8zAAB,UNIVERSITAS DIPONEGORO (UNDIP),REA,EAST REGIONAL,CENTRAL JAVA,Okt'22,Connex Q4 - Bali,Cash,,900000000
Connex,0065g00000Lpge5AAB,UNIVERSITAS SEBELAS MARET (UNS),REA,EAST REGIONAL,CENTRAL JAVA,Okt'22,Connex Q4 - Bali,Cash,,900000000
Connex,0065g00000LYf1pAAD,POLITEKNIK NEGERI SEMARANG (POLINES),REA,EAST REGIONAL,CENTRAL JAVA,Okt'22,Connex Q4 - Bali,Closed Lost,,245000000
Connex,0065g00000P313dAAB,Universitas Pendidikan Ganesha,REA,EAST REGIONAL,BALI NUSRA,Okt'22,Connex Q4 - Bali,Closed Lost,,
